hale,健壮的， 矍铄的
nostrum,家传秘方， 江湖药； 万灵丹； 妙策
scrimp,节省， 精打细算
elapse,消逝，过去。消逝
disinter,挖出， 掘出
coterminous,毗连的， 有共同边界的
impersonate,模仿； 扮演
reap,收割， 收获
scurvy,卑鄙的， 下流的
acrimony,尖刻， 刻薄
presume,推测， 假定； 认定
pregnant,怀孕的； 充满的
overtire,使过度疲劳
finale,最后， 最终； 终曲
delectation,享受， 愉快
touch,涉及；触动；接触。触摸
vapid,索然无味的， 无生气的
adaptable,有适应能力的； 可改编的
panorama,概观， 全景
substantive,根本的； 独立存在的
credence,相信， 信任
shattered,破碎的
facilitate,使容易， 促进
elixir,万能药， 长生不老药
egotist,自私自利者； 自我主义者
rebellious,造反的， 反叛的； 难控制的
jolting,令人震惊的
cometary,彗星的， 彗星似的
headlong,轻率的/地， 迅猛的/地
construction,结构， 句法关系； 解释， 理解
parliamentary,议会的
universal,全体的； 普遍的
blunt,钝的；直率的。使迟钝
irresistible,无法抗拒的； 不能压制的
glandular,腺状的， 腺的
intuitive,直觉的
transcendent,超越的， 卓越的， 出众的
redolent,芬芳的， 芳香的
prune,修剪。西梅干
outburst,爆发， 迸发； 激增
hypothesis,假设， 假说
ferment,使发酵； 激动， 动乱。发酵； 骚动
profuse,丰富的； 浪费的
comprehend,理解； 包括
multiplicity,多样性
intimation,暗示
jab,猛刺
ribaldry,下流的语言， 粗鄙的幽默
erect,竖立的， 笔直的
exalted,崇高的， 高贵的
modicum,少量
exclusive,孤僻的； 专用的
jar,震动，摇晃；冲突，抵触；震惊；发出刺耳声。广口坛子
unspoiled,未损坏的， 未宠坏的
testify,见证， 证实
dissociate,分离， 游离， 分裂
tarnish,失去光泽，晦暗。晦暗， 无光泽
inchoate,刚开始的； 未充分发展的， 不成熟的
aspen,白杨
reek,发臭味； 冒烟
unstinting,慷慨的， 大方的
reel,卷…于轴上。卷轴；旋转
acquiesce,勉强同意， 默许
scorch,烤焦， 烧焦
innuendo,含沙射影， 暗讽
accuse,谴责， 指责
visceral,内心深处的； 内脏的
mobility,可动性， 流动性
hymn,赞美诗
accentuate,强调； 重读
autocracy,独裁政府
forthright,直率的
predecessor,前任， 前辈； 原有事物， 前身
aristocracy,贵族； 贵族政府， 贵族统治
espouse,支持， 拥护
tactic,策略， 手段； 战术
visionary,有远见的；幻想的。空想家
sheaf,一捆， 一束
fertile,多产的； 肥沃的
dividend,红利， 股利
subcelestial,世俗的， 尘世的
abstruse,难懂的， 深奥的
caper,雀跃。雀跃，跳跃
detection,查明， 探测
outweigh,比…重， 比…更重要
shear,剪， 剪发
obfuscate,使困惑， 使迷惑
outgrow,生长速度超过…， 长得比…快
escalation,逐步上升， 逐步扩大
supervise,监督， 管理
ossify,骨化； 僵化
fulsome,虚情假意的； 充足的
fabulous,难以置信的； 寓言的
dilemma,困境， 左右为难
naysayer,怀疑者， 否定者
occasional,偶尔的； 特殊场合的； 不经常的
treacherous,背叛的， 叛逆的
outshine,比…光亮； 出色， 优异
debate,讨论， 辩论。正式的辩论，讨论
vulnerable,易受伤的， 脆弱的
unrestricted,无限制的， 自由的
preach,布道， 讲道
defraud,欺骗， 诈骗
piteous,可怜的
subjugate,征服， 镇压
recollection,记忆力； 往事
deplete,大量减少； 耗尽， 使枯竭
recurrent,循环的； 一再发生的
egregious,极端恶劣的
sanguine,乐观的； 红润的
significant,相当数量的； 意义重大的
complaisant,顺从的； 讨好的
debase,贬低， 贬损
gripe,抱怨； 惹恼， 激怒
consul,领事
abstain,禁绝， 放弃
critique,批评性的分析
cautious,小心的， 谨慎的
renounce,声明放弃； 拒绝， 否认
crouch,蹲伏， 弯腰
vigilance,警惕， 警觉
madrigal,抒情短诗； 合唱曲
bonny,健美的， 漂亮的
debark,下船， 下飞机， 下车； 卸载
concentric,同心的
surrogate,代替品； 代理人
intrusively,入侵地
palaver,空谈； 奉承。空谈
substance,主旨， 实质； 物质
boreal,北方的， 北风的
approbation,赞许； 认可
clarification,解释， 澄清
vagueness,含糊
tribal,部落的， 部族的
sibling,兄弟或姊妹
grind,磨碎，碾碎。苦差事
discomfort,使不适。不适
hype,夸大的广告宣传
also-ran,落选者； 不重要的参与者
stygian,阴暗的， 阴森森的
delicate,娇弱的； 雅致的， 精美的
gregariousness,群居； 合群， 爱交友
tissue,组织； 薄纸， 棉纸
excruciate,施酷刑； 折磨
rent,裂缝； 分歧
carpenter,木匠
proficiency,进步； 熟练， 精通
explanatory,说明的， 解释的
dietary,饮食的
drudgery,苦工， 苦活
burrow,挖掘，钻进，翻寻。地洞
olfactory,嗅觉的
rend,撕碎， 分裂； 抢夺
feint,佯攻； 伪装。佯攻，佯击
designate,指定，任命；指明，指出。尚未上任的
assorted,各式各样的； 混杂的
calculable,可计算的； 可信赖的
gene,基因
violet,紫罗兰色的。紫罗兰
investigative,调查的
epic,史诗的， 叙事诗的； 英雄的； 大规模的。叙事诗，史诗
asceticism,禁欲主义
sprawling,植物蔓生的， 无计划地扩展的
unification,统一， 一致
unequivocal,毫无疑问的
tenacious,坚韧的， 顽强的
tinder,火绒， 火种
niggle,拘泥小节； 小气地给
merited,该得的， 理所当然的
grill,烤；拷问。烤架
moisten,弄湿， 使湿润
vindicate,辩白； 证明…正确
ramshackle,摇摇欲坠的
harry,掠夺； 袭扰； 折磨
settle,安排； 决定； 栖息
harsh,严厉的； 粗糙的； 刺耳的
smother,熄灭； 覆盖； 使窒息
unilateral,单方面的
unimpeachable,无可指责的， 无可怀疑的
pejorative,轻视的， 贬低的
cherubic,天使的， 无邪的， 可爱的
misnomer,名称的误用； 误用的名称
vehicle,交通工具； 传播媒介
pressing,紧迫的， 迫切的； 恳切要求的
bleak,寒冷的； 阴沉的； 阴郁的， 暗淡的
voyeur,窥淫癖者
virility,男子气概； 刚强有力
bilateral,两边的； 双边的
plateau,高原； 平稳时期
blear,使模糊。模糊的
insider,局内人， 圈内人
chandelier,枝形吊灯
regretfully,懊悔地
inane,无意义的， 空洞的； 愚蠢的
superfluous,多余的， 累赘的
clement,仁慈的； 温和的
acrobat,特技演员， 杂技演员
apostate,背教者； 变节者
leery,谨防的， 怀疑的
waive,放弃； 推迟
unsuspecting,不怀疑的， 无猜疑的， 可信任的
persevere,坚持不懈
giggle,咯咯笑
membrane,薄膜； 膜
mature,成熟的； 深思熟虑的
amicable,友好的
acquisitive,渴望得到的， 贪婪的
influence,影响(力)，作用。影响，对…起作用
obscurity,费解； 不出名
amicably,友善地
shun,避免， 闪避
self-deprecation,自嘲
crackpot,怪人， 疯子； 狂想家
sedative,镇静的。镇静剂
self-deprecating,自贬的
recondite,深奥的， 晦涩的
exigent,迫切的， 紧急的
minuet,小步舞
glimpse,瞥见，看一眼。一瞥， 一看
unquestioning,无异议的， 不犹豫的
efficacious,有效的
exigency,紧急要求， 迫切需要
omit,忽略， 遗漏； 不做， 未能做
destitution,缺乏， 穷困
jog,慢跑
polemical,引起争论的， 好辩的
largess,赠送， 赏赐； 赠款， 赏赐物
downplay,贬低， 不予重视
jot,草草记下
billion,十亿
sheer,完全的； 陡峭的； 极薄的
compliment,恭维， 称赞
veracious,诚实的， 说真话的
sheen,光辉， 光泽
subvert,颠覆， 推翻
rinse,冲洗掉， 漂净
original,最初的， 最早的； 有创意的， 有创造性的
inconsolable,无法慰藉的， 悲痛欲绝的
glutinous,黏的， 胶状的
flighty,轻浮的； 反复无常的
interruption,中断， 打断
affiliate,使隶属于； 追溯…的来源； 联合。成员， 附属机构
recessive,隐性遗传的； 后退的
equivalent,相等的， 等值的
howler,嚎叫的人或动物； 滑稽可笑的错误
shunt,使转到另一轨道 ； 改变方向
hypocritical,虚伪的， 伪善的
asterisk,星号
flickering,闪烁的， 摇曳的， 忽隐忽现的
perpetual,持续的， 不间断的； 永久的
plague,烦扰。瘟疫；讨厌的人
fascinate,迷惑， 迷住
canon,经典， 真作
diplomatic,外交的； 圆滑的
untainted,无污点的
humidity,湿度， 湿气
iniquitous,邪恶的， 不公正的
ornate,华美的； 充满装饰的
disclaim,放弃权利； 拒绝承认
florid,华丽的； 红润的
plastic,创造性的， 塑造的； 易受影响的； 可塑的； 塑性的
hoodoo,厄运； 招来不幸的人
transient,短暂的， 转瞬即逝的
canny,精明仔细的
teeter,摇摇欲坠； 步履蹒跚； 踌躇
plank,铺板。厚木板；要点
expound,解释； 阐述
stained,污染的， 玷污的
intractable,倔强的， 难以管理的； 难以加工的， 难以操作的
dainty,娇美的； 挑剔的
fervid,炽热的； 热情的
isolate,孤立
earring,耳环， 耳饰
nonflammable,不易燃的
discouraging,令人气馁的
exoneration,免除
civil,国内的； 公民的； 文明的
subsequent,随后的， 后来的， 连续的
indicate,指示， 指出； 象征， 显示
plummet,垂直或突然落下
contain,包含， 含有； 控制； 阻止， 遏制
founder,沉没； 失败
wordy,冗长的， 多言的
applicant,申请人
shopworn,在商店中陈列久了的； 陈旧的， 磨损的
introspective,内省的， 自省的
pompous,自大的
incompatibility,不相容
glowing,热情赞扬的
stigmatize,诬蔑， 玷污
decry,责难； 贬低
tapering,尖端细的
jug,用陶罐等炖 in an earthenware vessel)； 关押(to jail; imprison)
inordinate,过度的， 过分的
disfranchise,剥夺…的权利， 剥夺…公民权
unpromising,无前途的， 没有希望的
precede,在…之前， 早于
disillusion,使梦想破灭， 使醒悟
vehement,猛烈的， 热烈的
horticulture,园艺学
reticent,沉默寡言的
differentiate,辨别， 区别
defamation,诽谤， 中伤
contact,接触； 互通信息
disorganize,扰乱， 使混乱
circumstantial,不重要的， 偶然的； 描述详细的
unsettling,使人不安的， 扰乱的
munch,用力咀嚼， 出声咀嚼
plaster,抹灰泥。灰泥，石膏
overtax,课税过重
renovate,翻新， 修复， 整修
vigorous,精力充沛的， 有力的
invidious,惹人反感的， 导致伤害和仇恨的， 招人嫉妒的
theatrical,戏剧的， 戏剧性的
parity,同等， 相等
stiffen,使硬， 使僵硬
compel,强迫
boisterous,喧闹的； 猛烈的
salute,行礼致敬；致意。行军礼
gawky,迟钝的， 笨拙的
candid,率直的
disruptive,制造混乱的
gustation,品尝； 味觉
catharsis,宣泄， 净化
badinage,玩笑， 打趣
diffident,缺乏自信的
decoy,诱骗
lump,块；
coercion,强制， 高压统治
tyrant,暴君
ruckus,喧闹， 骚动
breed,繁殖；教养。品种， 种类
parry,挡开， 避开
stalwart,健壮的； 坚定的
plagiarize,剽窃， 抄袭 and use them as if they were one's own)
fragrance,香料； 香味
descry,看见， 察觉
appraise,评价， 鉴定
unwieldy,难控制的； 笨重的
realm,王国； 领域， 范围
prompt,促进，激起。敏捷的， 迅速的
tendentious,有偏见的
elaborate,精致的， 复杂的。详尽地说明， 阐明
untutored,未受教育的
odoriferous,有气味的
repose,休息， 安眠
tirade,长篇的攻击性演说
candor,坦白， 率直
flatulent,自负的， 浮夸的
knead,揉成， 捏制
fatigue,疲乏， 劳累
numismatist,钱币学家， 钱币收藏家
torrential,奔流的， 洪流的， 湍急的
warranty,保证， 担保； 根据， 理由； 授权， 批准
neurosis,神经官能症
costume,服装； 戏装
placebo,安慰剂； 起安慰作用的东西
vain,自负的； 徒劳的
ordinary,普通的，平常的；拙劣的，质量差的。惯例， 寻常情况
economize,节约， 节省
verdict,裁定， 裁决
firearm,枪支
bacterium,细菌
cogitate,慎重思考， 思索
pursuit,追赶； 职业
stupor,昏迷， 恍惚
elate,使高兴， 使得意
extricable,可解救的， 能脱险的
ruthless,无情的； 残忍的
reverential,表示尊敬的， 恭敬的
gaffe,失礼， 失态
simile,明喻 comparison of one thing with another)
ersatz,代用的， 假的
composed,镇定的， 沉着的； 由…组成的
inflammation,发炎； 炎症
incogitant,未经思考的， 考虑不周的
fissure,裂缝， 裂隙
dissolve,溶解
prejudice,使产生偏见。偏见，成见
levee,堤岸， 防洪堤
fanatic,狂热的，盲信的。狂热者
penal,惩罚的， 刑罚的
cyclical,循环的
unsound,不健康的， 不健全的； 不结实的， 不坚固的； 无根据的
affordable,负担得起的
predominate,统治； 占优势， 以…为主
expressly,清楚地； 特意地
deceit,欺骗， 欺诈， 诡计
vogue,时尚， 流行
condescend,屈尊， 俯就
transitory,短暂的
disburse,支付， 支出
debatable,未决定的， 有争执的
lucre,〈贬〉钱， 利益
diffuse,散布，漫射。漫射的， 散漫的
scramble,攀登； 搅乱， 使混杂； 争夺
adumbrate,预示
plaza,广场； 集市
timbre,音色， 音质
sift,筛选， 过滤
split,破裂，裂开。裂开， 裂口
immerse,浸入； 沉浸于
lust,强烈的欲望
coercive,强制的， 强迫性的
sardonic,讽刺的， 嘲笑的
depreciate,轻视； 贬值
superstructure,上层建筑； 上层构造
unwonted,不寻常的， 不习惯的
peripheral,周边的， 外围的
obliging,乐于助人的
sordid,卑鄙的； 肮脏的
preserve,保护； 保存
unfasten,解开
luminary,杰出人物， 名人
deter,威慑， 吓住； 阻止
lurk,潜伏， 埋伏
proclaim,宣告， 公布； 显示， 表明
confide,吐露； 倾诉
jolt,颠簸。震动， 摇晃
jeopardize,危及， 危害
predominant,支配的， 占优势的， 主导的
recipe,食谱
apportion,分配
zesty,兴致很高的， 热望的
autobiography,自传
pseudonym,假名， 笔名
parable,寓言
astounding,令人震惊的
viable,切实可行的； 能活下去的
sentry,哨兵， 步兵
console,安慰， 抚慰
auspicious,幸运的； 吉兆的
control,对照标准， 对照物
pitfall,陷阱， 隐患
hilarity,欢闹， 狂欢
conjure,召唤， 想起； 变魔术， 变戏法
acknowledge,承认； 致谢
ameliorate,改善， 改良
decrepit,衰老的， 破旧的
descriptive,描述的
overthrow,推翻；终止。推翻； 终止
hereditary,祖传的， 世袭的； 遗传的
matte,无光泽的
inflict,使遭受
worthwhile,值得做的
stumble,绊倒
cunning,狡猾的，奸诈的；灵巧的，精巧的。狡猾， 奸诈
preamble,前言， 序言； 先兆
ensnare,诱入陷阱， 进入罗网
factitious,人为的， 不真实的
anneal,使退火； 使加强， 使变硬
underhanded,秘密的， 狡诈的
musket,旧式步枪， 毛瑟枪
precept,箴言， 格言； 规则
episode,一段情节； 插曲， 片断
decency,正派， 端庄体面
transgress,冒犯， 违背
objective,客观的。目标
environ,包围， 围绕
